,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
449,500106038,YouBike2.0_南門國中,29,2,中正區,2023-05-27 13:46:15,廣州街8巷/廣州街口東南側,25,1
455,500106044,YouBike2.0_濟南紹興路口,39,0,中正區,2023-05-27 13:03:04,濟南紹興路口東南側,39,1
468,500106058,YouBike2.0_聯合醫院和平院區,32,3,中正區,2023-05-27 13:46:15,中華路二段33號旁,29,1
478,500106068,YouBike2.0_莒光大埔街口,32,3,中正區,2023-05-27 13:41:16,莒光路/大埔街口(東北側),28,1
479,500106069,YouBike2.0_捷運忠孝新生站(2號出口),32,3,中正區,2023-05-27 13:45:15,忠孝東路二段132號(東側),27,1
484,500106074,YouBike2.0_王貫英先生紀念圖書館,15,2,中正區,2023-05-27 13:46:15,汀州路二段265號,13,1
487,500106078,YouBike2.0_徐州杭州路口,19,0,中正區,2023-05-27 13:40:10,徐州路/杭州南路一段口(西北側),19,1
489,500106080,YouBike2.0_捷運臺北車站(M2出口),20,0,中正區,2023-05-27 13:42:04,市民大道一段168號旁,20,1
492,500106085,YouBike2.0_弘道國中,18,0,中正區,2023-05-27 13:39:04,公園路21號西北側,17,1
494,500106087,YouBike2.0_台北市替代役中心,15,2,中正區,2023-05-27 13:43:14,汀州路三段8號前,13,1
495,500106088,YouBike2.0_紹興徐州路口,18,2,中正區,2023-05-27 13:42:14,紹興南街/徐州路(東南側),16,1
500,500106093,YouBike2.0_仁愛金山路口,9,0,中正區,2023-05-27 13:14:04,仁愛路二段31號前,9,1
501,500106094,YouBike2.0_杭州南路一段101巷口,14,3,中正區,2023-05-27 13:43:14,金山南路一段72號前,11,1
502,500106095,YouBike2.0_仁愛杭州路口,15,2,中正區,2023-05-27 13:41:16,仁愛路一段59號旁,11,1
506,500106099,YouBike2.0_林森北平路口,20,1,中正區,2023-05-27 13:25:15,林森北路與北平東路口西北側,18,1
508,500106101,YouBike2.0_天津北平路口,15,1,中正區,2023-05-27 13:37:14,天津街1號對側人行道,14,1
509,500106102,YouBike2.0_捷運忠孝新生站(1號出口),19,0,中正區,2023-05-27 13:46:15,捷運忠孝新生站(1號出口)後方,19,1
510,500106103,YouBike2.0_捷運忠孝新生站(5號出口),13,2,中正區,2023-05-27 13:43:14,新生南路一段56號前方,11,1
511,500106104,YouBike2.0_捷運臺大醫院站(1號出口),19,2,中正區,2023-05-27 13:46:15,公園路/常德街口(西側),16,1
517,500106110,YouBike2.0_捷運善導寺站(3號出口)(忠孝東路側),17,2,中正區,2023-05-27 13:46:15,忠孝東路一段/林森南路口,14,1
521,500106114,YouBike2.0_仁愛金山路口(東南側),14,2,中正區,2023-05-27 13:46:15,仁愛路二段48-4號前,12,1
522,500106115,YouBike2.0_臺灣文學基地,15,2,中正區,2023-05-27 13:46:15,齊東街53巷10號,13,1
523,500106116,YouBike2.0_重慶南詔安街口,15,1,中正區,2023-05-27 13:30:39,重慶南路三段/詔安街,14,1
526,500106119,YouBike2.0_螢圃里小公園,19,0,中正區,2023-05-27 13:40:10,汀州路二段135號對側,18,1
