,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
0,500101001,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-27 13:46:15,復興南路二段235號前,25,1
1,500101002,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 13:45:15,復興南路二段273號西側,21,1
2,500101003,YouBike2.0_國北教大實小東側門,16,0,大安區,2023-05-27 13:46:04,和平東路二段96巷7號,15,1
3,500101004,YouBike2.0_和平公園東側,11,3,大安區,2023-05-27 13:43:14,和平東路二段118巷33號,8,1
4,500101005,YouBike2.0_辛亥復興路口西北側,16,1,大安區,2023-05-27 13:40:21,復興南路二段368號,15,1
5,500101006,YouBike2.0_復興南路二段280號前,11,2,大安區,2023-05-27 13:26:19,復興南路二段280號,9,1
6,500101007,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 13:30:28,復興南路二段342號,10,1
8,500101009,YouBike2.0_新生南路三段66號前,16,2,大安區,2023-05-27 13:46:15,新生南路三段66號東側,14,1
10,500101012,YouBike2.0_辛亥路一段30號前,8,3,大安區,2023-05-27 13:46:15,辛亥路一段30號,5,1
13,500101015,YouBike2.0_大安運動中心停車場,14,3,大安區,2023-05-27 13:23:15,敦南街76巷28號,11,1
15,500101018,YouBike2.0_溫州公園,5,0,大安區,2023-05-27 13:42:04,羅斯福路三段283巷11號,5,1
17,500101020,YouBike2.0_溫州停車場,5,3,大安區,2023-05-27 13:41:15,新生南路三段54巷/溫州街口,2,1
18,500101021,YouBike2.0_銘傳國小側門,7,0,大安區,2023-05-27 13:46:15,羅斯福路四段21號旁天橋下,6,1
19,500101022,YouBike2.0_捷運公館站(2號出口),99,2,大安區,2023-05-27 13:46:15,捷運公館站(2號出口)外側,92,1
23,500101026,YouBike2.0_公館公園,15,2,大安區,2023-05-27 13:40:21,羅斯福路四段113巷基隆路四段41巷口,13,1
25,500101028,YouBike2.0_臺大醫學院附設癌醫中心,20,3,大安區,2023-05-27 13:44:17,基隆路三段155巷57號西側,17,1
26,500101029,YouBike2.0_臺大環研大樓,15,2,大安區,2023-05-27 13:40:21,芳蘭路/基隆路三段155巷口,13,1
28,500101031,YouBike2.0_臺大男七舍前,20,3,大安區,2023-05-27 13:40:21,長興街/長興街80巷口西側,17,1
32,500101035,YouBike2.0_臺大土木研究大樓前,24,3,大安區,2023-05-27 13:36:15,辛亥路三段188號,20,1
34,500101037,YouBike2.0_臺大國青大樓宿舍前,20,2,大安區,2023-05-27 13:45:15,辛亥路三段30號西北側,18,1
38,500101041,YouBike2.0_辛亥新生路口東南側,41,1,大安區,2023-05-27 13:44:06,辛亥新生路口東南側,39,1
42,500101093,YouBike2.0_大安區健康服務中心,15,0,大安區,2023-05-27 13:07:04,辛亥路三段15號,15,1
43,500101094,YouBike2.0_辛亥泰順街口,20,2,大安區,2023-05-27 13:46:15,辛亥泰順街口東南側,16,1
46,500101098,YouBike2.0_臥龍公園,14,1,大安區,2023-05-27 13:39:13,辛亥路三段223號西側,13,1
50,500101102,YouBike2.0_喬治工商,26,0,大安區,2023-05-27 13:35:04,基隆路二段166號,23,1
51,500101103,YouBike2.0_法治公園,15,0,大安區,2023-05-27 12:57:04,通化街189號西側,14,1
52,500101104,YouBike2.0_捷運臺電大樓站(2號出口),15,2,大安區,2023-05-27 13:44:17,辛亥路一段/羅斯福路三段口北側(辛亥路側),13,1
54,500101107,YouBike2.0_和平龍泉街口,34,0,大安區,2023-05-27 13:42:04,和平東路一段/龍泉街口西南側,33,1
58,500101111,YouBike2.0_捷運古亭站(5號出口),14,2,大安區,2023-05-27 13:46:15,和平東路一段19號前,12,1
60,500101114,YouBike2.0_新生和平路口東北側,38,2,大安區,2023-05-27 13:44:06,新生南路二段與和平東路二段口東北側,35,1
63,500101117,YouBike2.0_捷運東門站(3號出口),15,3,大安區,2023-05-27 13:42:14,信義路二段128號前,12,1
68,500101123,YouBike2.0_敦化基隆路口,29,2,大安區,2023-05-27 13:37:14,敦化南路二段218號,25,1
69,500101124,YouBike2.0_安和路二段181巷口,17,1,大安區,2023-05-27 13:25:15,安和路二段185號,16,1
70,500101125,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-05-27 13:44:17,通化街111號,27,1
71,500101126,YouBike2.0_臨江街夜市(基隆路),17,3,大安區,2023-05-27 13:43:14,基隆路二段108號,11,1
72,500101127,YouBike2.0_台北科技大學億光大樓,46,1,大安區,2023-05-27 13:46:15,忠孝東路三段81號,44,1
75,500101130,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,500101134,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-27 13:46:15,信義路4段6號(前),11,1
80,500101135,YouBike2.0_捷運大安站(2號出口),22,3,大安區,2023-05-27 13:44:17,信義路3段143號(前),19,1
81,500101136,YouBike2.0_信義大安路口(信維大樓),12,0,大安區,2023-05-27 13:46:15,信義路四段74號(前),11,1
84,500101139,YouBike2.0_信義敦化路口,46,2,大安區,2023-05-27 13:44:17,信義路四段155號前,44,1
85,500101140,YouBike2.0_仁愛國中,25,1,大安區,2023-05-27 13:32:04,安和路一段75號(對面),22,1
86,500101141,YouBike2.0_捷運信義安和站(2號出口),26,1,大安區,2023-05-27 13:42:14,信義路四段188號前,24,1
87,500101142,YouBike2.0_八德市場,30,1,大安區,2023-05-27 13:28:04,市民大道三段170號,28,1
88,500101143,YouBike2.0_昌隆公園,16,1,大安區,2023-05-27 13:46:15,市民大道三段206號西側,14,1
89,500101144,YouBike2.0_捷運大安森林公園站(2號出口),62,3,大安區,2023-05-27 13:43:14,捷運大安森林公園站(2號出口)西側,59,1
90,500101145,YouBike2.0_信義延吉街口,15,1,大安區,2023-05-27 13:43:14,信義路四段353號,14,1
91,500101146,YouBike2.0_光信公園(光復南路456巷),15,1,大安區,2023-05-27 13:46:15,延吉街249號,13,1
94,500101149,YouBike2.0_捷運忠孝新生站(6號出口),15,0,大安區,2023-05-27 13:23:04,新生南路一段101號,15,1
95,500101150,YouBike2.0_捷運忠孝新生站(4號出口),34,0,大安區,2023-05-27 13:46:15,忠孝新生路口北側,33,1
96,500101151,YouBike2.0_大安高工,23,1,大安區,2023-05-27 13:46:15,復興南路二段52號(前),20,1
97,500101152,YouBike2.0_捷運忠孝新生站(3號出口),23,0,大安區,2023-05-27 13:45:15,忠孝東路三段與10巷口,23,1
99,500101154,YouBike2.0_敦化市民路口,23,0,大安區,2023-05-27 13:42:04,敦化南路1段158號(前),20,1
100,500101155,YouBike2.0_捷運大安森林公園站(5號出口),15,3,大安區,2023-05-27 13:42:14,捷運大安森林公園站(5號出口)東側,12,1
102,500101157,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 13:26:04,東豐街24號(旁公園路側),17,1
103,500101158,YouBike2.0_德安公園(四維路66巷),14,3,大安區,2023-05-27 13:43:14,四維路66巷6號北側,11,1
108,500101165,YouBike2.0_樂利路21巷口,17,3,大安區,2023-05-27 13:41:15,樂利路25號,14,1
112,500101169,YouBike2.0_捷運信義安和站(4號出口),30,3,大安區,2023-05-27 13:46:15,信義路四段252號前,26,1
115,500101172,YouBike2.0_捷運信義安和站(1號出口),33,1,大安區,2023-05-27 13:46:15,信義路四段225號前,31,1
116,500101173,YouBike2.0_敦化南路二段103巷口,24,1,大安區,2023-05-27 13:33:15,敦化南路二段99號前,23,1
119,500101176,YouBike2.0_芳蘭山莊,16,2,大安區,2023-05-27 13:42:14,基隆路三段155巷148號,14,1
121,500101179,YouBike2.0_捷運東門站(5號出口),28,3,大安區,2023-05-27 13:46:15,信義路二段178號前,24,1
123,500101181,YouBike2.0_捷運公館站(3號出口),90,3,大安區,2023-05-27 13:45:15,捷運公館站(3號出口)西側,86,1
124,500101182,YouBike2.0_臺北科技大學(電機工程系),16,1,大安區,2023-05-27 13:34:04,忠孝東路三段100號對側,15,1
125,500101183,YouBike2.0_忠孝東路三段217巷口,34,3,大安區,2023-05-27 13:41:15,忠孝東路三段229-1號前,31,1
126,500101184,YouBike2.0_新生南路三段94巷口,15,1,大安區,2023-05-27 13:46:15,新生南路三段94號前,13,1
127,500101185,YouBike2.0_辛亥新生路口西北側,12,0,大安區,2023-05-27 13:39:04,辛亥路一段/新生南路三段(西北側),11,1
128,500101186,YouBike2.0_捷運大安站(6號出口),19,0,大安區,2023-05-27 13:14:04,復興南路一段303號前,19,1
129,500101187,YouBike2.0_臥龍街195巷口,14,1,大安區,2023-05-27 13:21:04,臥龍街/臥龍街195巷(南側),12,1
130,500101188,YouBike2.0_辛亥路三段157巷口,19,0,大安區,2023-05-27 13:46:04,辛亥路三段與辛亥路三段157巷口西北側,19,1
131,500101189,YouBike2.0_臥龍基隆路口,16,0,大安區,2023-05-27 13:42:04,臥龍街與基隆路二段口東北側,16,1
132,500101190,YouBike2.0_敦親公園,20,1,大安區,2023-05-27 13:40:21,和平東路二段96巷8之1號(前方),19,1
135,500101193,YouBike2.0_基隆長興路口,43,1,大安區,2023-05-27 13:44:06,基隆路/長興街(東南側),42,1
136,500101194,YouBike2.0_仁愛路四段122巷口,16,2,大安區,2023-05-27 13:38:13,仁愛路四段118號前,14,1
137,500101196,YouBike2.0_市民敦化路口,15,3,大安區,2023-05-27 13:42:14,敦化南路一段111號前,12,1
140,500101199,YouBike2.0_和平新生路口西南側,13,1,大安區,2023-05-27 13:45:15,新生南路三段2號前,12,1
141,500101200,YouBike2.0_全安公園,16,2,大安區,2023-05-27 13:41:16,安和路二段227巷16號對側,14,1
142,500101201,YouBike2.0_信義路三段134巷口,19,1,大安區,2023-05-27 13:42:14,信義路三段/信義路三段134巷口,18,1
143,500101202,YouBike2.0_仁愛敦南圓環(東南側),16,3,大安區,2023-05-27 13:44:17,仁愛路四段110號前,9,1
144,500101203,YouBike2.0_臺北遠企購物中心,33,0,大安區,2023-05-27 13:30:28,敦化南路二段201號前,32,1
146,500101205,YouBike2.0_四維路170巷口,22,1,大安區,2023-05-27 13:43:14,敦化南路二段92號對側中央分隔島,21,1
147,500101206,YouBike2.0_捷運大安站(3號出口),44,2,大安區,2023-05-27 13:46:15,信義路三段184號前,41,1
148,500101207,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,3,大安區,2023-05-27 13:41:16,羅斯福路三段201號旁,27,1
151,500101210,YouBike2.0_敦化南路二段81巷,40,3,大安區,2023-05-27 13:43:14,敦化南路二段與敦化南路二段81巷口西北側,36,1
157,500101216,YouBike2.0_和平東路二段18巷口,24,3,大安區,2023-05-27 13:45:15,辛亥路二段43號前,20,1
158,500101217,YouBike2.0_捷運大安站(5號出口),19,0,大安區,2023-05-27 13:45:04,復興南路二段/信義路四段(東南側),16,1
159,500101218,YouBike2.0_臨江公園,13,1,大安區,2023-05-27 13:42:04,通化街143巷33號對側,11,1
163,500101223,YouBike2.0_樂利路101巷口,13,2,大安區,2023-05-27 13:44:17,樂利路97號前,11,1
169,500103005,YouBike2.0_重慶酒泉街口,30,0,大同區,2023-05-27 13:33:04,重慶北路三段260號前,30,1
170,500103006,YouBike2.0_樹德公園,14,1,大同區,2023-05-27 13:15:14,大龍街85巷12號對側,13,1
177,500103013,YouBike2.0_台北數位產業園區,24,0,大同區,2023-05-27 13:36:04,承德路三段287號前方,24,1
183,500103024,YouBike2.0_捷運大橋頭站(2號出口),57,1,大同區,2023-05-27 13:40:21,捷運大橋頭站(2號出口)西側,56,1
184,500103025,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-27 13:36:04,民權西路237號旁,16,1
185,500103026,YouBike2.0_捷運民權西路站(2號出口),25,2,大同區,2023-05-27 13:46:15,捷運民權西路站(2號出口)西側,23,1
188,500103029,YouBike2.0_朝陽公園,10,2,大同區,2023-05-27 13:46:04,重慶北路二段62-1號旁,8,1
194,500103035,YouBike2.0_重慶民族路口,20,3,大同區,2023-05-27 13:46:15,重慶北路三段162號前,16,1
195,500103036,YouBike2.0_承德路三段8巷口,16,3,大同區,2023-05-27 13:34:14,承德路三段14號前,13,1
198,500103039,YouBike2.0_聯合醫院中興院區,27,2,大同區,2023-05-27 13:30:39,長安西路299號(對面),25,1
201,500103042,YouBike2.0_大同運動中心,16,1,大同區,2023-05-27 13:38:14,大龍街51號(旁),15,1
202,500103043,YouBike2.0_重慶保安街口(家樂福重慶店),20,2,大同區,2023-05-27 13:44:17,重慶北路二段171號(旁),18,1
205,500103046,YouBike2.0_民權國中(民權西路),17,3,大同區,2023-05-27 13:42:14,民權西路/蘭州街(西側),14,1
207,500103048,YouBike2.0_南京太原路口,18,2,大同區,2023-05-27 13:43:14,南京西路/太原路(東側),16,1
209,500103050,YouBike2.0_太原五原路口,24,0,大同區,2023-05-27 13:46:15,太原路 / 五原路口(東南側),24,1
211,500103052,YouBike2.0_捷運民權西路站(3號出口),50,3,大同區,2023-05-27 13:45:15,民權西路70巷37號對面,47,1
213,500103054,YouBike2.0_重慶長安路口,15,3,大同區,2023-05-27 13:42:14,長安西路244號(重慶路側),12,1
214,500103055,YouBike2.0_承德昌吉街口,18,3,大同區,2023-05-27 13:45:15,承德路三段83號前,15,1
223,500104001,YouBike2.0_劍潭抽水站,17,1,士林區,2023-05-27 12:27:14,通河東街325巷/通河東街口,12,1
224,500104002,YouBike2.0_通河東街大南路口,15,2,士林區,2023-05-27 13:43:14,通河東街1段192號(旁),12,1
226,500104004,YouBike2.0_百齡國小,50,3,士林區,2023-05-27 13:46:15,前港街104號(對面),47,1
227,500104005,YouBike2.0_雨聲街165巷口,15,1,士林區,2023-05-27 13:38:03,雨聲街/雨聲街165巷(西北側),14,1
228,500104006,YouBike2.0_天和公園,13,3,士林區,2023-05-27 13:28:14,天母東路69巷30號(前方路側),7,1
229,500104007,YouBike2.0_中山天母路口,29,3,士林區,2023-05-27 13:37:14,天母西路3-55號前人行道,26,1
231,500104009,YouBike2.0_臺北市立大學(天母校區),23,3,士林區,2023-05-27 13:45:15,士東路276號至280號對面人行道,20,1
234,500104013,YouBike2.0_天母北天玉街口,15,3,士林區,2023-05-27 13:34:14,天母北路33號(前),12,1
236,500104015,YouBike2.0_明勝公園,14,1,士林區,2023-05-27 13:21:17,承德路4段6巷71號(對面),11,1
244,500104024,YouBike2.0_前港公園(福德宮),18,3,士林區,2023-05-27 13:46:15,後港街134巷/後港街口,15,1
246,500104026,YouBike2.0_前港公園(前港街),19,3,士林區,2023-05-27 13:40:21,前港街48號(對面),16,1
253,500104033,YouBike2.0_福林國小,14,2,士林區,2023-05-27 13:42:14,福志路50號(對面),11,1
255,500104035,YouBike2.0_士林運動中心,30,2,士林區,2023-05-27 13:44:17,士商路1號(前),28,1
259,500104039,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
261,500104041,YouBike2.0_捷運士林站(2號出口),30,2,士林區,2023-05-27 13:46:15,中山北路五段505巷44弄2號(對面),26,1
262,500104042,YouBike2.0_銘傳大學,30,0,士林區,2023-05-17 23:56:05,中山北路五段250號(銘傳大學對側),29,0
265,500104045,YouBike2.0_聯合醫院陽明院區,15,0,士林區,2023-05-27 13:11:04,雨聲街105號(南側),14,1
270,500104050,YouBike2.0_梅林新村,15,2,士林區,2023-05-27 11:54:04,至善路一段/至善路一段138巷(北側),13,1
