,編號,名稱,車輛數,可借,行政區,日期,地址,可還,狀態
0,500101001,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-05-27 15:49:14,復興南路二段235號前,24,1
1,500101002,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 15:47:04,復興南路二段273號西側,21,1
2,500101003,YouBike2.0_國北教大實小東側門,16,1,大安區,2023-05-27 15:45:15,和平東路二段96巷7號,14,1
3,500101004,YouBike2.0_和平公園東側,11,0,大安區,2023-05-27 15:23:04,和平東路二段118巷33號,11,1
4,500101005,YouBike2.0_辛亥復興路口西北側,16,1,大安區,2023-05-27 15:49:14,復興南路二段368號,15,1
5,500101006,YouBike2.0_復興南路二段280號前,11,1,大安區,2023-05-27 14:48:14,復興南路二段280號,10,1
6,500101007,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 14:24:04,復興南路二段342號,10,1
7,500101008,YouBike2.0_新生南路三段52號前,17,0,大安區,2023-05-27 15:26:04,新生南路三段52號,16,1
8,500101009,YouBike2.0_新生南路三段66號前,16,2,大安區,2023-05-27 15:45:15,新生南路三段66號東側,14,1
9,500101010,YouBike2.0_新生南路三段82號前,20,3,大安區,2023-05-27 15:48:14,新生南路三段82號,16,1
10,500101012,YouBike2.0_辛亥路一段30號前,8,3,大安區,2023-05-27 15:34:13,辛亥路一段30號,5,1
11,500101013,YouBike2.0_和平復興路口西北側,9,0,大安區,2023-05-27 15:49:04,復興南路二段236號,8,1
12,500101014,YouBike2.0_羅斯福路三段311號前,11,1,大安區,2023-05-27 15:48:04,羅斯福路三段311號,10,1
13,500101015,YouBike2.0_大安運動中心停車場,14,3,大安區,2023-05-27 15:36:15,敦南街76巷28號,11,1
15,500101018,YouBike2.0_溫州公園,5,2,大安區,2023-05-27 15:49:14,羅斯福路三段283巷11號,3,1
16,500101019,YouBike2.0_和平臥龍街口,15,1,大安區,2023-05-27 15:49:14,臥龍街1號,14,1
17,500101020,YouBike2.0_溫州停車場,5,2,大安區,2023-05-27 15:43:15,新生南路三段54巷/溫州街口,3,1
18,500101021,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-27 15:47:04,羅斯福路四段21號旁天橋下,5,1
23,500101026,YouBike2.0_公館公園,15,0,大安區,2023-05-27 15:41:04,羅斯福路四段113巷基隆路四段41巷口,15,1
